canonical_smiles,pIC50,IC50_nM,activity_class,n_measurements,pIC50_std,pIC50_min,pIC50_max,molecule_chembl_id,molecule_chembl_ids,n_molecules
C#CCCCCOc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OC,7.059981844992337,87.09999999999995,1,1,,7.059981844992337,7.059981844992337,CHEMBL591039,CHEMBL591039,1
C#CCCCOc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OC,8.596879478824182,2.530000000000003,1,1,,8.596879478824182,8.596879478824182,CHEMBL592216,CHEMBL592216,1
C#CCCCOc1cc2c(Nc3cccc(Cl)c3)ncnc2cc1OC,7.752026733638194,17.69999999999999,1,1,,7.752026733638194,7.752026733638194,CHEMBL592713,CHEMBL592713,1
C#CCCn1cc(Nc2nc(OC[C@H]3CN(C(=O)C=C)C[C@@H]3OC)c3c(Cl)c[nH]c3n2)cn1,7.795880017344075,16.000000000000007,1,1,,7.795880017344075,7.795880017344075,CHEMBL3786812,CHEMBL3786812,1
C#CCN(C)CCN(C)c1cc(OC)c(Nc2nccc(Nc3ccn(C)n3)n2)cc1NC(=O)C=C,7.650916831220409,22.340000000000014,1,5,0.3861174206423051,7.294478386577333,8.066512712151294,CHEMBL5070579,CHEMBL5070579,1
C#CCN(C)CCN(C)c1cc(OC)c(Nc2nccc(Nc3cn(C)c4ccccc34)n2)cc1NC(=O)C=C,8.2076646043513,6.199196399534391,1,2,0.26694416249337916,8.01890657685407,8.396422631848534,CHEMBL5072451,CHEMBL5072451,1
C#CCN1CCN(c2ccc(Nc3ncc4c(C)cc(=O)n(-c5cccc(NC(=O)C=C)c5)c4n3)c(OC)c2)CC1,8.094743951251548,8.040000000000013,1,1,,8.094743951251548,8.094743951251548,CHEMBL5094288,CHEMBL5094288,1
C#CCNC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1,6.53082020645431,294.5640847082347,0,2,0.14664236210660084,6.427128397799519,6.634512015109101,CHEMBL3092304,CHEMBL3092304,1
C#CCNC(=O)c1cc(Nc2cc(C3CC3)[nH]n2)nc(N2CCN(Cc3ccc(S(=O)(=O)F)cc3)CC2)n1,6.61261017366127,244.0000000000001,0,3,0.9290943250179988,6.61261017366127,8.221848749616356,CHEMBL4855850,CHEMBL4855850,1
C#CCNC/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)c(C#N)cnc2cc1OCC,8.871641127011257,1.343874994186586,1,2,2.335202634456782,7.220403508742176,10.522878745280337,CHEMBL1243316,CHEMBL1243316,1
C#CCOc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OC,7.8297382846050425,14.800000000000004,1,1,,7.8297382846050425,7.8297382846050425,CHEMBL597949,CHEMBL597949,1
C#CCOc1cc2c(Nc3cccc(Cl)c3)ncnc2cc1OC,7.586700235918748,25.900000000000006,1,1,,7.586700235918748,7.586700235918748,CHEMBL597948,CHEMBL597948,1
C#CCOc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)C=C,8.154901959985743,7.000000000000002,1,2,0.0,8.154901959985743,8.154901959985743,CHEMBL3787386,CHEMBL3787386,1
C#CCOc1cccc(Nc2ncc(C)c(Nc3cccc(NC(=O)C=C)c3)n2)c1,7.259637310505756,55.000000000000036,1,3,0.5773502691896258,6.259637310505756,7.259637310505756,CHEMBL5798780,CHEMBL5798780,1
C#CCOc1cccc(Nc2ncc(F)c(Nc3cccc(C(=O)C=C(C)C)c3)n2)c1,5.619224005717909,2403.1229681395844,0,2,0.5085323812179472,5.259637310505756,5.978810700930062,CHEMBL5995996,CHEMBL5995996,1
C#CCn1cc(-c2ccnc(Nc3cc(NC(=O)C=C)c(N(C)CCN(C)C)cc3OC)n2)c2ccccc21,8.995678626217357,1.0100000000000011,1,3,0.6541567560471425,7.862645888629267,8.995678626217357,CHEMBL4790568,CHEMBL4790568,1
C#Cc1cc(C(=O)/N=c2\[nH]c3ccccc3n2[C@H]2CC[C@@H](O)CC2)cc(-c2cnn(C)c2)n1,6.791380439266309,161.66632302369,0,2,1.7877595325309423,5.527243550682788,8.05551732784983,CHEMBL5934396,CHEMBL5934396,1
C#Cc1cc(C=O)cc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,6.959397659885926,109.80000000000013,0,1,,6.959397659885926,6.959397659885926,CHEMBL5633106,CHEMBL5633106,1
