molecule_chembl_id,split_seed,rf_seed,predicted_pIC50,rank,n_ranked_in_run,in_train_for_split
CHEMBL490980,7,777,5.123206205765406,53,60,False
CHEMBL443171,7,777,5.042468928893407,56,60,False
CHEMBL519982,7,777,5.316194000641505,42,60,False
CHEMBL28,7,777,5.177317255735398,51,60,False
CHEMBL2315699,7,777,5.8283962400754294,7,60,False
CHEMBL2315697,7,777,5.8283962400754294,8,60,False
CHEMBL275638,7,777,5.692142237822215,13,60,False
CHEMBL483830,7,777,5.31645326757431,41,60,False
CHEMBL2315410,7,777,5.724073290427526,12,60,False
CHEMBL485258,7,777,5.350251986821493,39,60,False
CHEMBL519395,7,777,5.25490975578626,44,60,False
CHEMBL483831,7,777,5.347730991840362,40,60,False
CHEMBL453504,7,777,5.295895529588064,43,60,False
CHEMBL485485,7,777,5.361921344333225,36,60,False
CHEMBL463054,7,777,5.229245924949646,47,60,False
CHEMBL2315701,7,777,5.36986502567927,35,60,False
CHEMBL441343,7,777,5.012229884465535,57,60,False
CHEMBL2315698,7,777,5.455651284853618,25,60,False
CHEMBL2315696,7,777,5.455651284853618,26,60,False
CHEMBL2315409,7,777,5.353810841242472,38,60,False
CHEMBL489146,7,777,5.051481794251336,55,60,False
CHEMBL17329,7,777,5.057520569430457,54,60,False
CHEMBL556684,7,777,5.230997172991435,46,60,False
CHEMBL483531,7,777,4.794978586435318,58,60,False
CHEMBL483532,7,777,4.366290265321732,59,60,False
CHEMBL450484,7,777,4.035666627089183,60,60,False
CHEMBL2316916,21,42,6.657070031762123,1,60,False
CHEMBL5614250,21,42,5.948975354035696,3,60,False
CHEMBL5564149,21,42,5.820188921689987,5,60,False
CHEMBL13983,21,42,5.658600905849821,16,60,False
CHEMBL554993,21,42,5.84578196366628,4,60,False
CHEMBL512054,21,42,5.968951328992843,2,60,False
CHEMBL131921,21,42,5.701825153421874,12,60,False
CHEMBL2315700,21,42,5.751822427749634,6,60,False
CHEMBL4531006,21,42,5.601310816605886,23,60,False
CHEMBL241609,21,42,5.569131817791197,31,60,False
CHEMBL485475,21,42,5.660516517427233,15,60,False
CHEMBL520144,21,42,5.6869756482967455,13,60,False
CHEMBL491174,21,42,5.615386828864464,21,60,False
CHEMBL243664,21,42,5.627282925093801,20,60,False
CHEMBL4539558,21,42,5.5788280002276105,29,60,False
CHEMBL490960,21,42,5.48528711963583,33,60,False
CHEMBL483428,21,42,5.459332256488528,36,60,False
CHEMBL489139,21,42,5.261806343329074,49,60,False
CHEMBL483525,21,42,5.606526748342144,22,60,False
CHEMBL521470,21,42,5.394003553655413,39,60,False
CHEMBL242741,21,42,5.575207418375947,30,60,False
CHEMBL484121,21,42,5.703413428465526,10,60,False
CHEMBL484321,21,42,5.703413428465526,11,60,False
CHEMBL521472,21,42,5.404452748960919,38,60,False
CHEMBL518986,21,42,5.480866023743594,35,60,False
CHEMBL490266,21,42,5.596031992435456,24,60,False
CHEMBL490267,21,42,5.596031992435456,25,60,False
CHEMBL483526,21,42,5.483145359798657,34,60,False
